Movie Name,Time,Rating,Top Cast,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War
Venom: The Last Dance (2024),109,68,टॉम हार्डीEddie Brock / Venom      Chiwetel EjioforGeneral Rex Strickland      Juno TempleDr. Teddy Paine      Clark BackoSadie Christmas      Rhys IfansMartin Moon      Stephen GrahamDetective Mulligan      Peggy LuMrs. Chen      Alanna UbachNova Moon      Hala FinleyEcho Moon      Dash McCloudLeaf Moon      Cristo FernándezBartender      Andy SerkisKnull (voice)      Jared AbrahamsonCaptain Forrest      Ivo NandiJavier      Jack BradyJim - Security      Brooke CarterYoung Teddy Paine      Fflyn EdwardsThaddeus Paine      Reid ScottDr. Dan Lewis      Jake AllynLas Vegas Security Guard      Otis WinstonDonald the Security Guard      Jacob TomuriTuxedo Guy      Elijah Isaiah CookArea 51 Soldier      Norma ButikoferWoman on Plane      Elizabeth CookKeli Reule      Annie HsuArmy Medic      Angie HsuArmy Medic      Martin McDougallThe General      Narendra KhandwePerson In Plane      ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Moana 2 (2024),100,69,Auliʻi CravalhoMoana (voice)      ड्वेन जॉनसनMaui (voice)      Hualālai ChungMoni (voice)      Rose MatafeoLoto (voice)      David FaneKele (voice)      Awhimai FraserMatangi (voice)      Khaleesi Lambert-TsudaSimea (voice)      Temuera MorrisonChief Tui (voice)      Nicole ScherzingerSina (voice)      Rachel HouseGramma Tala (voice)      Gerald RamseyTautai Vasa (voice)      Alan TudykHei Hei (voice)      Jemaine ClementTamatoa (voice)      Tofiga Fepulea'iNalo (voice)      Tiana JohnsonMoanabe (voice)      Jasmine JohnsonMoanabe (voice)      Ata Maivia JohnsonVillager (voice)      Bryson ChunAdditional Voices (voice)      Noemi Josefina FloresAdditional Voices (voice)      Setarosa Tuitasi-LedouxAdditional Voices (voice)      Bentley Pupuhi-FernandezAdditional Voices (voice)      ,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Elevation (2024),91,65,एंथनी मैकीWill      Morena BaccarinNina      Maddie HassonKatie      Danny Boyd Jr.Hunter      Rachel NicksTara      Shauna EarpHannah      Tyler GreyTim      Drexel MalkoffNina’s Son (uncredited)      David MalkoffNina’s Husband (uncredited)      Mike HickmanRefugee (uncredited)      Ian HummelRefugee (uncredited)      Dalila OrozcoRefugee (uncredited)      James Anthony PerezRefugee (uncredited)      Gregg S. PerryRefugee (uncredited)      ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Absolution (2024),112,61,लियाम नीसनThug      Ron PerlmanCharlie Conner      Yolonda RossWoman      Frankie ShawDaisy      Daniel DiemerKyle Conner      Javier MolinaGamberro      Jimmy GonzalesDiego Machado      Josh DrennenThug's Dad      Deanna TarrazaAraceli      Terrence PulliamDre      Omar Moustafa GhonimArmando      Tom KempBurt      Ryan HomchickDr. Gruber      William XifarasKiko      Kris EiversPriest      Ryan CarawayGeorge      Ghia TruesdaleCharlie's Wife      Kayla KohlaBrothel Girl      Levon PanekHuge Dude      Matthew DelamaterJack      Jermaine BrownGuardian      Nicholas DelanyWaiter      Ilya TsymbalSlick Dude      Brian A. WhiteBobby      Bryan CarawayGeorge      Hans Petter MolandLarry the Drunk      John DuddyBoxer      Bruce SosciaTommy      Kate AvalloneNeurologist      Rose MallickDaughter in Car      Rosario VillamanAbuela      Michael GiannoneGangbanger Soldier      Elijah AkindolieGangbanger (uncredited)      Chanel Rose ConnorLady of the Night (uncredited)      Eve CostarelliFancy Restaurant Diner (uncredited)      Emelia Camille HarewoodChild (uncredited)      Ian Dylan HuntFancy Restaurant Diner      Robert LoftusDown & Out Junkie (uncredited)      Casey McNealCity Bystander (uncredited)      Wes MeserveDinner Guest (uncredited)      Kellen RaffaeloKid on SIdewalk (uncredited)      Tyler M. RaineySon in Mattress Store (uncredited)      Brian SavageDock Worker (uncredited)      Marilyn SwickDinner Guest (uncredited)      ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Red One (2024),124,70,ड्वेन जॉनसनCallum Drift      Chris EvansJack O'Malley      J.K. SimmonsNick      Lucy LiuZoe      Kiernan ShipkaGryla      Bonnie HuntMrs. Claus      Kristofer HivjuKrampus      निक क्रॉलTed      Wesley KimmelDylan      Mary Elizabeth EllisOlivia      Wyatt HuntYoung Jack O'Malley      Lanz DuffyGene      Marc Evan JacksonUncle Rick      Ashleigh DomangueJamie Hummiston      Cody EasterbrookHIT Instructor      Jon RudnitskyBeef Stew      Morla GorrondonaOgre Gryla (voice)      Jenna KanellKrampus Guest      Rod MaxwellKrampus Guest      Fedor SteerKrampus Guest      Octavia GraceKrampus Guest      Matthew ZukKrampus Guest      Cora KassKrampus Guest      Ahmad GhafouriStage Manager      Jeff ChaseCyclops      Gary PeeblesGuard      Matthew CornwellAaron Able / Troll      Amber AbaraBeach Woman      Alessandro FolchittoDeath Merc      Cynthia BarrettMORA Surveillance Technician      J.R. AdduciMORA Agent      Brandon M. ShawMORA Agent      Gabriel 'G-Rod' RodriguezMrs. Claus Yule Lad      Kia ShineYule Lad      Adam BoyerYule Lad      Michael TourekYule Lad      Derek RussoYule Lad      James CheekELF Welcoming Agent      Regina Ting ChenELF Agent Ginerva      Reinaldo FaberlleELF Agent Garcia      Philip FornahELF Agent Fred      Kenny Waymack Jr.ELF Agent Kenny      Gissette E. ValentinELF Agent Barskova      CJ PaderaMonitor ELF Agent      Darryl W. HandyAir Force General      MartinezAir Traffic Controller      Drew AterF22 Raptor Pilot      Pilot BunchCandy Cane Thief      Makana DavidBarista      Shane CostaChurro Vendor      Greg ClarksonHot Dog Vendor      ,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Armor (2024),89,55,सिलवेस्टर स्टैलोनRook      Jason PatricJames Brody      Josh WigginsCasey Brody      Dash MihokSmoke      Erin OwnbeyTrisha Brody      Laney StiebingSara Brody      Jeff ChaseViper      Josh WhitesEcho      Joel CohenBank Manager      Beau BommaritoSpeeding Driver      Justin William DavisAlcoholic #1      David PerksFireman (voice)      ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Miraculous World, London: At the Edge of Time (2024)",50,85,Annouck HautboisMarinette / Ladybug / Bug Noire / Chronobug (voice)      Benjamin BollenAdrien Agreste / Cat Noir / Félix Graham (voice)      Marie NonnenmacherTikki (voice)      Thierry KazazianPlagg (voice)      Adeline ChetailAlix Kubdel / Bunnyx (voice)      Clara SoaresLila Rossi / Cerise Bianca / Chrysalis (voice)      Martial Le MinouxNooroo (voice)      Antoine ToméGabriel Agreste / Monarch (voice)      Marie ChevalotChloé Bourgeois / Nathalie Sancoeur (voice)      Clara SoaresKagami Tsurugi (voice)      Gilbert LevyPlacide I.T. (voice)      ,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
वह यादगार क्रिसमस (2024),95,76,Brian CoxSanta (voice)      Fiona ShawMs. Trapper (voice)      Jodie WhittakerMrs. Williams (voice)      बिल नायLighthouse Bill (voice)      Lolly AdefopeMrs. McNutt (voice)      Alex MacQueenMr. Forrest (voice)      Katherine ParkinsonMrs. Forrest (voice)      Sindhu VeeMrs. Mulji (voice)      India BrownBernadette McNutt (voice)      Zazie HayhurstSam Beccles (voice)      Sienna SayerCharlie Beccles (voice)      Rosie CavalieroMrs. Beccles (voice)      Paul KayeYirrell (voice)      Guz KhanDasher (voice)      Andy NymanMr. Beccles (voice)      Jack WisniewskiDanny Williams (voice)      Kuhu AgarwalNisha Mulji (voice)      Bronte SmithEve McNutt (voice)      Freddie SpryTeddy Forrest (voice)      Ava TalbotScarlett Forrest (voice)      Rhys DarbyMr. McNutt (voice)      Deborah FindlayMrs. Horton (voice)      Alicia DaviesWeather Person (voice)      Isabella HopkinsAdditional Voices (voice)      Simon OttoAdditional Voices (voice)      Jordan NorthAdditional Voices (voice)      Dermot O'LearyAdditional Voices (voice)      Luke JamesonAdditional Voices (voice)      Mary MossAdditional Voices (voice)      ,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Watchmen: Chapter II (2024),89,76,Troy BakerAdrian Veidt / Ozymandias / Derf / Laurence Schexnayder / Gerald Grice / News Announcer (voice)      Adrienne BarbeauSally Jupiter / Police Dispatcher (voice)      Michael CerverisDr. Manhattan / Prison Guard #2 (voice)      Zehra FazalHira Manish / Newscaster (voice)      Phil FondacaroTom Ryan / Big Figure (voice)      Grey DeLisleFemale Citizen #1 / Advisor #1 (voice)      John Marshall JonesOtis / Malcolm Long / General #1 (voice)      Max KochBernard / President Nixon / Lawrence Andrews (voice)      Phil LaMarrComic Book Narrator / Bernie / Male Citizen #1 (voice)      Yuri LowenthalSeymour / Knot Top #2 / Bully #1 (voice)      Long NguyenAttendant #1 (voice)      Geoff PiersonHollis Mason / Prison Guard #1 (voice)      Matthew RhysDan Dreiberg / Nite Owl / Sam Hollis / Max Shea / Michael Stephens / Prisoner #1 (voice)      Katee SackhoffLaurie Juspeczyk / Silk Spectre / Sandra Hollis (voice)      Jason SpisakDoug Roth / Bully #2 / Hector Godfrey (voice)      Kari WahlgrenSylvia Kovacs / Female Knot Top (voice)      Rick D. WassermanEdward Blake / Comedian (voice)      Titus WelliverRorschach / Walter Kovacs (voice)      ,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
The Wild Robot (2024),102,84,"Lupita Nyong'oRoz / Rummage (voice)      पेद्रो पास्कलFink (voice)      किट कॉनरBrightbill (voice)      बिल नायLongneck (voice)      Stephanie HsuVontra (voice)      Matt BerryPaddler (voice)      Ving RhamesThunderbolt (voice)      मार्क हमिलThorn (voice)      Catherine O'HaraPinktail (voice)      Boone StormBaby Brightbill (voice)      Alexandra NovelleSnowdown (voice)      Raphael AlejandroPeck (voice)      Paul-Mikél WilliamsFeather (voice)      Eddie ParkHonkington (voice)      Dee Bradley BakerRaccoons / Squirrels / Badgers (voice)      Randy ThomRECOs (voice)      Avrielle CortiAutomated Alarms (voice)      Keston JohnWeasel 1 (voice)      Max MittelmanWeasel 2 (voice)      Piotr MichaelBroadfoot / Weasel 3 (voice)      Alessandro BeghiBaby Opossum 1 (voice)      Tiago MartinezBaby Opossum 2 (voice)      Becca LastBaby Opossum 3 (voice)      Madelyn TurpinBaby Opossum 3, 4, 5, 6 (voice)      Kayleigh RayneBaby Opossum 4, 7 / Baby Bunny 2 / Baby Skunk (voice)      Isabelle TupinBaby Opossum 8, 9 / Baby Bunny 1 (voice)      Beckett BlombergBaby Opossum 10 / Chipmunk / Baby Lynx (voice)      Damon FungBaby Opossum 11 / Baby Otter (voice)      King MooreBaby Opossum 12 (voice)      Collin ErkerSkunk (voice)      ",1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
