Movie Name,Time,Rating,Top 7 Cast,Music,War,Horror,TV Movie,Romance,Drama,History,Mystery,Fantasy,Crime,Comedy,Family,Animation,Thriller,Adventure,Science Fiction,Action
Venom: The Last Dance (2024),109,68, Eddie Brock / Venom; Chiwetel EjioforGeneral Rex Strickland; Juno TempleDr. Teddy Paine; Clark BackoSadie Christmas; Rhys IfansMartin Moon; Stephen GrahamDetective Mulligan; Peggy LuMrs. Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Moana 2 (2024),100,69,Auliʻi CravalhoMoana (voice); Maui (voice); Hualālai ChungMoni (voice); Rose MatafeoLoto (voice); David FaneKele (voice); Awhimai FraserMatangi (voice); Khaleesi Lambert-TsudaSimea (voice),0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Elevation (2024),91,65, Will; Morena BaccarinNina; Maddie HassonKatie; Danny Boyd Jr.Hunter; Rachel NicksTara; Shauna EarpHannah; Tyler GreyTim,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Absolution (2024),112,61, Thug; Ron PerlmanCharlie Conner; Yolonda RossWoman; Frankie ShawDaisy; Daniel DiemerKyle Conner; Javier MolinaGamberro; Jimmy GonzalesDiego Machado,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Red One (2024),124,70, Callum Drift; Chris EvansJack O'Malley; J.K. SimmonsNick; Lucy LiuZoe; Kiernan ShipkaGryla; Bonnie HuntMrs. Claus; Kristofer HivjuKrampus,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Armor (2024),89,55, Rook; Jason PatricJames Brody; Josh WigginsCasey Brody; Dash MihokSmoke; Erin OwnbeyTrisha Brody; Laney StiebingSara Brody; Jeff ChaseViper,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"Miraculous World, London: At the Edge of Time (2024)",50,85,Annouck HautboisMarinette / Ladybug / Bug Noire / Chronobug (voice); Benjamin BollenAdrien Agreste / Cat Noir / Félix Graham (voice); Marie NonnenmacherTikki (voice); Thierry KazazianPlagg (voice); Adeline ChetailAlix Kubdel / Bunnyx (voice); Clara SoaresLila Rossi / Cerise Bianca / Chrysalis (voice); Martial Le MinouxNooroo (voice),0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Watchmen: Chapter II (2024),89,76,Troy BakerAdrian Veidt / Ozymandias / Derf / Laurence Schexnayder / Gerald Grice / News Announcer (voice); Adrienne BarbeauSally Jupiter / Police Dispatcher (voice); Michael CerverisDr. Manhattan / Prison Guard #2 (voice); Zehra FazalHira Manish / Newscaster (voice); Phil FondacaroTom Ryan / Big Figure (voice); Grey DeLisleFemale Citizen #1 / Advisor #1 (voice); John Marshall JonesOtis / Malcolm Long / General #1 (voice),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
The Wild Robot (2024),102,84,Lupita Nyong'oRoz / Rummage (voice); Fink (voice); Brightbill (voice); Longneck (voice); Stephanie HsuVontra (voice); Matt BerryPaddler (voice); Ving RhamesThunderbolt (voice),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Gladiator II (2024),148,67,Paul MescalLucius Verus / Hanno; Denzel WashingtonMacrinus; General Acacius; Connie NielsenLucilla; Joseph QuinnEmperor Geta; Fred HechingerEmperor Caracalla; Lior RazViggo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Kraven the Hunter (2024),127,56,Aaron Taylor-JohnsonSergei Kravinoff / Kraven; Ariana DeBoseCalypso Ezili / Calypso; Fred HechingerDimitri Smerdyakov / The Chameleon; Nikolai Kravinoff; Alessandro NivolaAleksei Sytsevich / The Rhino; Christopher AbbottThe Foreigner; Levi MillerYoung Sergei Kravinoff,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
GTMAX (2024),100,61,Ava BayaSoélie; Jalil LespertElyas; Jérémie LaheurteTheo; Thibaut ÉvrardLucas; Riadh BelaïcheMichael; Gérard LanvinDaniel; Samir DecazzaYacine,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Deadpool & Wolverine (2024),128,77, Wade Wilson / Deadpool / Nicepool; Logan / Wolverine; Cassandra Nova; Matthew MacfadyenMr. Paradox; Dafne KeenLaura / X-23; Happy Hogan; Morena BaccarinVanessa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Sidelined: The QB and Me (2024),99,64,Noah BeckDrayton Lahey; Siena AgudongDallas Bryan; Drew Ray TannerNathan Bryan; James Van Der BeekLeroy Lahey; Deborah CoxMiss Alicia; Asia LizardoGabby; Jake FoyMr. Justin Douglas,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Wicked (2024),160,76, Elphaba; Galinda; Jeff GoldblumThe Wonderful Wizard of Oz; Madame Morrible; Fiyero; Ethan SlaterBoq; Marissa BodeNessarose,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
The Substance (2024),141,72,Demi MooreElisabeth; Margaret QualleySue; Dennis QuaidHarvey; Edward Hamilton-ClarkFred; Gore AbramsOliver; Oscar LesageTroy; Christian EricksonMan at Diner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Smile 2 (2024),127,66,Naomi ScottSkye Riley; Rosemarie DeWittElizabeth Riley; Lukas GageLewis; Miles Gutierrez-RileyJoshua; Morris; Ray NicholsonPaul Hudson; Dylan GelulaGemma,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Weekend in Taipei (2024),101,62,Luke EvansJohn Lawlor; Gwei Lun-meiJoey Kang; Sung KangKwang; Wyatt YangRaymond; Pernell WalkerCharlotte Fields; Zach IrelandAgent Simons; Patrick LeeBolo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Arena Wars (2024),96,54,Michael MadsenSamson; Eric RobertsAdmiral Jordan; Robert LaSardoPerez; John WellsLuke Bender; Kevin HagerBelladonna; BJ MezekBoggs; Mercedes PetersonDomino,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Heretic (2024),111,70,Sophie ThatcherSister Barnes; Chloe EastSister Paxton; Hugh GrantMr. Reed; Topher GraceElder Kennedy; Elle YoungProphet; Julie Lynn-MortensenPedestrian; Haylie HansenTeenager,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Terrifier 3 (2024),125,68,Lauren LaVeraSienna Shaw; David Howard ThorntonArt the Clown; Samantha ScaffidiVictoria Heyes; Elliott FullamJonathan Shaw; Margaret Anne FlorenceJessica; Bryce JohnsonGreg; Alexa Blair RobertsonMia,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pimpinero: Blood and Oil (2024),122,72,JuanesMoisés; Alejandro SpeitzerJuan; Alberto GuerraUlises; Laura OsmaDiana; ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Alien: Romulus (2024),119,72,Cailee SpaenyRain; David JonssonAndy; Archie RenauxTyler; Isabela MercedKay; Spike FearnBjorn; Aileen WuNavarro; Rosie EdeWY Officer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
