Top 7 Cast
 Eddie Brock / Venom; Chiwetel EjioforGeneral Rex Strickland; Juno TempleDr. Teddy Paine; Clark BackoSadie Christmas; Rhys IfansMartin Moon; Stephen GrahamDetective Mulligan; Peggy LuMrs. Chen
Auliʻi CravalhoMoana (voice); Maui (voice); Hualālai ChungMoni (voice); Rose MatafeoLoto (voice); David FaneKele (voice); Awhimai FraserMatangi (voice); Khaleesi Lambert-TsudaSimea (voice)
 Will; Morena BaccarinNina; Maddie HassonKatie; Danny Boyd Jr.Hunter; Rachel NicksTara; Shauna EarpHannah; Tyler GreyTim
 Thug; Ron PerlmanCharlie Conner; Yolonda RossWoman; Frankie ShawDaisy; Daniel DiemerKyle Conner; Javier MolinaGamberro; Jimmy GonzalesDiego Machado
 Callum Drift; Chris EvansJack O'Malley; J.K. SimmonsNick; Lucy LiuZoe; Kiernan ShipkaGryla; Bonnie HuntMrs. Claus; Kristofer HivjuKrampus
 Rook; Jason PatricJames Brody; Josh WigginsCasey Brody; Dash MihokSmoke; Erin OwnbeyTrisha Brody; Laney StiebingSara Brody; Jeff ChaseViper
Annouck HautboisMarinette / Ladybug / Bug Noire / Chronobug (voice); Benjamin BollenAdrien Agreste / Cat Noir / Félix Graham (voice); Marie NonnenmacherTikki (voice); Thierry KazazianPlagg (voice); Adeline ChetailAlix Kubdel / Bunnyx (voice); Clara SoaresLila Rossi / Cerise Bianca / Chrysalis (voice); Martial Le MinouxNooroo (voice)
Troy BakerAdrian Veidt / Ozymandias / Derf / Laurence Schexnayder / Gerald Grice / News Announcer (voice); Adrienne BarbeauSally Jupiter / Police Dispatcher (voice); Michael CerverisDr. Manhattan / Prison Guard #2 (voice); Zehra FazalHira Manish / Newscaster (voice); Phil FondacaroTom Ryan / Big Figure (voice); Grey DeLisleFemale Citizen #1 / Advisor #1 (voice); John Marshall JonesOtis / Malcolm Long / General #1 (voice)
Lupita Nyong'oRoz / Rummage (voice); Fink (voice); Brightbill (voice); Longneck (voice); Stephanie HsuVontra (voice); Matt BerryPaddler (voice); Ving RhamesThunderbolt (voice)
Paul MescalLucius Verus / Hanno; Denzel WashingtonMacrinus; General Acacius; Connie NielsenLucilla; Joseph QuinnEmperor Geta; Fred HechingerEmperor Caracalla; Lior RazViggo
Aaron Taylor-JohnsonSergei Kravinoff / Kraven; Ariana DeBoseCalypso Ezili / Calypso; Fred HechingerDimitri Smerdyakov / The Chameleon; Nikolai Kravinoff; Alessandro NivolaAleksei Sytsevich / The Rhino; Christopher AbbottThe Foreigner; Levi MillerYoung Sergei Kravinoff
Ava BayaSoélie; Jalil LespertElyas; Jérémie LaheurteTheo; Thibaut ÉvrardLucas; Riadh BelaïcheMichael; Gérard LanvinDaniel; Samir DecazzaYacine
 Wade Wilson / Deadpool / Nicepool; Logan / Wolverine; Cassandra Nova; Matthew MacfadyenMr. Paradox; Dafne KeenLaura / X-23; Happy Hogan; Morena BaccarinVanessa
Noah BeckDrayton Lahey; Siena AgudongDallas Bryan; Drew Ray TannerNathan Bryan; James Van Der BeekLeroy Lahey; Deborah CoxMiss Alicia; Asia LizardoGabby; Jake FoyMr. Justin Douglas
 Elphaba; Galinda; Jeff GoldblumThe Wonderful Wizard of Oz; Madame Morrible; Fiyero; Ethan SlaterBoq; Marissa BodeNessarose
Demi MooreElisabeth; Margaret QualleySue; Dennis QuaidHarvey; Edward Hamilton-ClarkFred; Gore AbramsOliver; Oscar LesageTroy; Christian EricksonMan at Diner
Naomi ScottSkye Riley; Rosemarie DeWittElizabeth Riley; Lukas GageLewis; Miles Gutierrez-RileyJoshua; Morris; Ray NicholsonPaul Hudson; Dylan GelulaGemma
Luke EvansJohn Lawlor; Gwei Lun-meiJoey Kang; Sung KangKwang; Wyatt YangRaymond; Pernell WalkerCharlotte Fields; Zach IrelandAgent Simons; Patrick LeeBolo
Michael MadsenSamson; Eric RobertsAdmiral Jordan; Robert LaSardoPerez; John WellsLuke Bender; Kevin HagerBelladonna; BJ MezekBoggs; Mercedes PetersonDomino
Sophie ThatcherSister Barnes; Chloe EastSister Paxton; Hugh GrantMr. Reed; Topher GraceElder Kennedy; Elle YoungProphet; Julie Lynn-MortensenPedestrian; Haylie HansenTeenager
